no,category_kdc,category_yes24,keywords_yes24
30894,프로그래밍 프로그램 데이터,null,null
32052,작문,null,null
32115,군사 시설 및 장비,null,null
33680,한자서체,null,null
33876,사회학 사회문제,null,null
37378,산수,null,null
37380,인도 철학 사상,null,null
39846,언어사 및 언어정책 언어행정,null,null
40138,음운 음성 문자,null,null
40194,언어학,null,null
40789,nan,null,null
40791,중국어,null,null
40934,어휘,null,null
41301,남아프리카,null,null
41505,사회복지,null,null
42013,교육 정책 및 행정,null,null
42327,금융,null,null
42328,금융,null,null
42621,시,null,null
42627,시,null,null
42676,사회학 사회문제,null,null
43065,기업경제,null,null
43106,중국어,null,null
43287,소설,null,null
43602,스페인어 및 포르투갈어,null,null
43614,스페인어 및 포르투갈어,null,null
44355,산부인과 소아과학,null,null
44380,문학사 평론,null,null
44993,문법,null,null
45014,음운 음성 문자,null,null
45359,문법,null,null
45529,학교 행정 및 경영 보건 및 교육 지도,null,null
45594,행정학,null,null
45776,nan,null,null
45930,지방자치 및 지방행정,null,null
47798,주제별 서지 및 목록,null,null
48088,시,null,null
48650,인도-유럽어족,null,null
49157,콜롬비아,null,null
49158,금융,null,null
49166,여성문제,null,null
49935,문학이론,null,null
50038,문학이론,null,null
51551,디자인,null,null
51662,시,null,null
52395,논리학,null,null
52741,시,null,null
52751,시,null,null
52758,시,null,null
52765,시,null,null
52774,시,null,null
52780,시,null,null
52786,시,null,null
52794,시,null,null
53505,시,null,null
53742,시,null,null
53915,시,null,null
53930,시,null,null
54431,북아메리카,null,null
54441,시,null,null
54857,학회 단체 협회 기관 회의,null,null
54974,식품공학,null,null
55170,북아메리카,null,null
55388,시,null,null
55509,기술사,null,null
55698,시,null,null
55721,동아프리카,null,null
56174,시,null,null
56298,시,null,null
56321,시,null,null
56598,난방 환기 및 공기조화 공학,null,null
57795,시,null,null
58348,시,null,null
58894,시,null,null
59366,베네수엘라와 기아나 지역,null,null
60846,시,null,null
61453,시,null,null
61533,시,null,null
61704,시,null,null
62346,콜롬비아,null,null
62437,시,null,null
63649,시,null,null
63817,희곡,null,null
63843,금융,null,null
63850,디자인,null,null
63913,저작,null,null
64113,남아메리카 ,null,null
64801,시,null,null
65309,아시아,null,null
65375,null,null,null
66306,북아메리카,null,null
66359,아프리카,null,null
66870,교육학,null,null
66879,교육학,null,null
67071,사진예술,null,null
67354,콜롬비아,null,null
67890,사회학,null,null
67911,남아메리카,null,null
68215,금융,null,null
68370,콜롬비아,null,null
68898,콜롬비아,null,null
68935,사전 사전[2],null,null
69008,희곡,null,null
69598,브라질,null,null
70820,사회학 사회문제,null,null
70916,개인의 일반전집,null,null
71011,2인 이상의 일반전집 총서,null,null
71570,시,null,null
71585,사회복지,null,null
71803,nan,null,null
72555,언어사 및 언어정책 언어행정,null,null
72795,언어사 및 언어정책 언어행정,null,null
72857,루마니아어,null,null
73754,행정학,null,null
74336,시,null,null
74616,인도-유럽어족,null,null
74624,nan,null,null
74801,문방구,null,null
75267,심리학각론,null,null
75311,합리론,null,null
77105,디자인,null,null
77110,nan,null,null
77203,사회복지,null,null
77545,학회 단체 협회 기관 회의,null,null
77555,조각 조형미술,null,null
77562,방법론,null,null
77575,시,null,null
77709,평생교육,null,null
77794,공군,null,null
77795,언어,null,null
77801,아프리카 제어,null,null
77803,베네수엘라와 기아나 지역,null,null
77941,정치학,null,null
77948,학회 단체 협회 기관 회의,null,null
78843,교육학,null,null
79605,생활문제,null,null
79666,소설,null,null
79817,사회학 사회문제,null,null
80192,문방구,null,null
88328,민속학,null,null
92822,국가형태,null,null
93762,시,null,null
94056,시,null,null
94901,개인의 일반전집,null,null
96163,소설,null,null
96234,기타 아시아 제문학,null,null
97460,문학사 평론,null,null
97505,문학사 평론,null,null
97628,문학사 평론,null,null
97669,사회복지,null,null
97692,2인 이상의 일반전집 총서,null,null
98600,시,null,null
102753,경제학,null,null
103469,전략 전술,null,null
103516,언어학,null,null
103558,사전 사전[2],null,null
103855,희곡,null,null
104042,전략 전술,null,null
108405,교육학,null,null
109099,디자인,null,null
109121,시,null,null
110279,소설,null,null
116419,세계사 세계문화사,null,null
118075,nan,null,null
118652,방법론,null,null
120691,시,null,null
122517,학회 단체 협회 기관 회의,null,null
125720,경제학,null,null
127437,주제별 서지 및 목록,null,null
127438,주제별 서지 및 목록,null,null
128176,시,null,null
128191,위생 도시 환경 공학,null,null
128224,사회학 사회문제,null,null
128226,수필,null,null
128265,디자인,null,null
128272,디자인,null,null
129206,지식 및 학문 일반,null,null
129411,사회사상,null,null
129416,2인 이상의 일반전집 총서,null,null
129426,시,null,null
129486,잡저,null,null
129496,평생교육,null,null
129832,외교 국제 관계,null,null
130443,시,null,null
131258,중국문학,null,null
131510,희곡,null,null
132085,시간,null,null
132098,아시아,null,null
132310,음료기술,null,null
132934,세계사 세계문화사,null,null
132939,nan,null,null
132982,사회사상,null,null
132994,동양철학 동양사상,null,null
134099,미사용 [6],null,null
138205,사회윤리,null,null
138235,서남아시아 제국 철학 사상,null,null
138237,시,null,null
138251,소설,null,null
141678,시,null,null
143024,학회 단체 협회 기관 회의,null,null
143914,국가 및 정치 윤리,null,null
144842,여성문제,null,null
144886,null,null,null
146715,시,null,null
147286,평생교육,null,null
147822,학회 단체 협회 기관 회의,null,null
147958,통계자료,null,null
148636,시,null,null
148983,2인 이상의 일반전집 총서,null,null
149110,2인 이상의 일반전집 총서,null,null
150313,디자인,null,null
153279,전집 총서,null,null
153714,사회학 사회문제,null,null
153802,유럽,null,null
154338,디자인,null,null
154854,사회학,null,null
155288,주제별 서지 및 목록,null,null
155388,디자인,null,null
155695,헌법,null,null
155696,헌법,null,null
155770,사회복지,null,null
156053,한의학,null,null
156269,일반 도서관,null,null
156828,도서관 봉사 및 활동,null,null
157249,언어사 및 언어정책 언어행정,null,null
157274,남아메리카 ,null,null
159632,소설,null,null
159639,시,null,null
160000,디자인,null,null
160032,학회 단체 협회 기관 회의,null,null
160057,콜롬비아,null,null
160673,일본어 및 기타 아시아 제어,null,null
160741,학회 단체 협회 기관 회의,null,null
160754,학회 단체 협회 기관 회의,null,null
161409,사회 조직 및 제도,null,null
161436,시,null,null
161463,금동조,null,null
162272,연령별 성별 신분별 사회계층의 풍습,null,null
165149,강연집 수필집,null,null
165909,베네수엘라와 기아나 지역,null,null
166337,식품공학,null,null
168708,스칸디나비아,null,null
171337,사회학 사회문제,null,null
172805,개인의 일반전집,null,null
173567,개인의 일반전집,null,null
173685,개인의 일반전집,null,null
173715,인도-유럽어족,null,null
173912,학교 행정 및 경영 보건 및 교육 지도,null,null
175536,공간,null,null
175547,기타 다른 기원의 종교,null,null
175688,오스트로네시아어족,null,null
175728,null,null,null
177689,콜롬비아,null,null
177808,콜롬비아,null,null
178958,가설 가정,null,null
181816,null,null,null
184401,역사 철학 및 이론,null,null
184410,nan,null,null
184423,null,null,null
184444,nan,null,null
184476,소설,null,null
184480,서남아시아 제국 철학 사상,null,null
184563,null,null,null
184628,디자인,null,null
185098,시,null,null
185194,세계사 세계문화사,null,null
185258,사회학 사회문제,null,null
185270,채색 이론 및 실제,null,null
185272,경제학,null,null
185299,아프리카,null,null
185315,논리학,null,null
185318,한의학,null,null
190745,null,null,null
191792,학교 행정 및 경영 보건 및 교육 지도,null,null
192043,교육학,null,null
194165,사회 조직 및 제도,null,null
195062,교육학,null,null
199358,사회학 사회문제,null,null
200051,사회복지,null,null
200085,시,null,null
200656,시,null,null
201048,nan,null,null
201569,기업경제,null,null
201606,세계사 세계문화사,null,null
203909,학회 단체 협회 기관 회의,null,null
203930,null,null,null
203970,시,null,null
207022,서남아시아 제국 철학 사상,null,null
207028,교육학,null,null
207120,교육학,null,null
208129,시,null,null
208541,학교 행정 및 경영 보건 및 교육 지도,null,null
208893,유럽,null,null
211025,사회윤리,null,null
211035,사전 사전[2],null,null
211126,생활문제,null,null
211137,도서관 봉사 및 활동,null,null
211192,경제각론,null,null
211263,경제각론,null,null
211353,시,null,null
211449,사회윤리,null,null
211450,중국 철학 사상,null,null
211453,학회 단체 협회 기관 회의,null,null
211610,사회복지,null,null
211705,학교 행정 및 경영 보건 및 교육 지도,null,null
212205,소설,null,null
212209,null,null,null
212293,사회학 사회문제,null,null
212402,디자인,null,null
212580,기계 역학 요소 및 설계,null,null
212607,시,null,null
218078,null,null,null
218856,헌법,null,null
218893,관혼상제,null,null
218980,null,null,null
219782,경제학,null,null
219903,아시아,null,null
220798,교육 정책 및 행정,null,null
223515,음운 음성 문자,null,null
223601,베네수엘라와 기아나 지역,null,null
224575,칠공예,null,null
224587,북아메리카,null,null
226328,사전 사전[2],null,null
226365,사회학 사회문제,null,null
228748,시,null,null
229683,사회학 사회문제,null,null
229703,사전 사전[2],null,null
229766,사회복지,null,null
229774,사회복지,null,null
232000,null,null,null
232295,북아메리카,null,null
232305,언어사 및 언어정책 언어행정,null,null
232518,학회 단체 협회 기관 회의,null,null
232531,심리학각론,null,null
232548,심리학각론,null,null
232709,시,null,null
232713,잡저,null,null
232723,null,null,null
232756,교육학,null,null
233009,언어사 및 언어정책 언어행정,null,null
233034,기타 제어,null,null
233042,nan,null,null
233201,디자인,null,null
233202,nan,null,null
233286,오락 스포츠,null,null
233331,희곡,null,null
233406,중국 철학 사상,null,null
233528,사회학 사회문제,null,null
233699,디자인,null,null
240243,기술사,null,null
249351,시,null,null
251348,사회학 사회문제,null,null
252760,스칸디나비아,null,null
253059,디자인,null,null
253096,시,null,null
253098,디자인,null,null
253135,시,null,null
253218,시,null,null
263639,한의학,null,null
264419,nan,null,null
264618,북아메리카,null,null
264838,언어,null,null
264860,기타 게르만어파,null,null
264896,전집 총서,null,null
265043,nan,null,null
266636,헌법,null,null
266907,사회학 사회문제,null,null
266914,디자인,null,null
266923,지방자치 및 지방행정,null,null
266935,사회학 사회문제,null,null
267471,학교 행정 및 경영 보건 및 교육 지도,null,null
267544,시,null,null
267554,멕시코,null,null
267620,공업화학약품,null,null
267829,시,null,null
267840,현악기,null,null
267859,콜롬비아,null,null
268091,사회복지,null,null
268145,디자인,null,null
268159,디자인,null,null
268296,국가 및 정치 윤리,null,null
268301,윤리학 도덕철학,null,null
268407,시,null,null
270419,논리학,null,null
270421,잡저,null,null
272106,치과의학 이비인후과학 안과학 및 기타 임상의학,null,null
272113,nan,null,null
272162,방언(사투리),null,null
272204,컴퓨터과학,null,null
272296,서남아시아 제국 철학 사상,null,null
273720,사회복지,null,null
273947,사회학 사회문제,null,null
274135,사회학 사회문제,null,null
274313,고대 로마,null,null
274361,디자인,null,null
274362,사회학 사회문제,null,null
274642,언어학,null,null
275027,소설,null,null
275082,학회 단체 협회 기관 회의,null,null
275107,시,null,null
275451,연구법 연구방법 및 교육 교육자료,null,null
275452,연구법 연구방법 및 교육 교육자료,null,null
275615,nan,null,null
275653,행정법,null,null
275917,학회 단체 협회 기관 회의,null,null
276106,사회학 사회문제,null,null
276155,콜롬비아,null,null
276556,판화,null,null
279143,사회학 사회문제,null,null
280940,연속간행물,null,null
282094,전집 총서,null,null
282134,사회 조직 및 제도,null,null
282375,음운 음성 문자,null,null
282699,포르투갈어,null,null
282770,남아메리카 ,null,null
282914,중국어,null,null
283358,아시아,null,null
283469,전집 총서,null,null
283669,아시아,null,null
283708,학회 단체 협회 기관 회의,null,null
283744,null,null,null
283840,방법론,null,null
283856,수산업 생물자원의 보호 수렵업,null,null
283875,언어사 및 언어정책 언어행정,null,null
284182,소설,null,null
284500,아프리카 ,null,null
285359,디자인,null,null
285817,사회학 사회문제,null,null
285829,작문,null,null
286259,학회 단체 협회 기관 회의,null,null
286440,사회학 사회문제,null,null
286510,콜롬비아,null,null
286725,소설,null,null
287307,nan,null,null
287318,언어,null,null
288193,시,null,null
288398,심리학각론,null,null
288405,중국문학,null,null
288516,베네수엘라와 기아나 지역,null,null
288817,미사용 [6],null,null
289087,소설,null,null
289490,잡저,null,null
289544,베네수엘라와 기아나 지역,null,null
289586,아시아,null,null
289778,경제학,null,null
289929,연속간행물,null,null
290005,언어사 및 언어정책 언어행정,null,null
290294,인디아와 남부아시아,null,null
290514,nan,null,null
290564,토목공학,null,null
290575,의학,null,null
290600,지식 및 학문 일반,null,null
290682,평생교육,null,null
290710,세계사 세계문화사,null,null
290788,nan,null,null
291308,콜롬비아,null,null
292196,석조,null,null
292948,시,null,null
293075,정치학,null,null
294334,언어사 및 언어정책 언어행정,null,null
294591,펜습자,null,null
294647,베네수엘라와 기아나 지역,null,null
295257,국방 군사학,null,null
295344,시,null,null
295376,방언(사투리),null,null
295783,기타 제법,null,null
296258,전집 총서,null,null
296465,시,null,null
296812,소설,null,null
296820,베네수엘라와 기아나 지역,null,null
297311,사회과학,null,null
297402,콜롬비아,null,null
297564,개인의 일반전집,null,null
297769,사전 사전[2],null,null
298155,null,null,null
298323,nan,null,null
298370,평생교육,null,null
298480,콜롬비아,null,null
298537,전집 총서,null,null
298852,강연집 수필집,null,null
299677,세계사 세계문화사,null,null
299886,전집 총서,null,null
299900,전집 총서,null,null
299921,시,null,null
300024,시,null,null
300070,시,null,null
300435,콜롬비아,null,null
300570,nan,null,null
300577,체육학 스포츠,null,null
300659,콜롬비아,null,null
300736,언어사 및 언어정책 언어행정,null,null
300741,언어사 및 언어정책 언어행정,null,null
300747,아시아,null,null
301280,문법,null,null
301659,작문,null,null
301960,시,null,null
301965,논증 설득,null,null
302423,시,null,null
302461,null,null,null
302900,사회사상,null,null
302908,역류(한역),null,null
302922,콜롬비아,null,null
303742,서남아시아 제국 철학 사상,null,null
303937,nan,null,null
304001,학교 행정 및 경영 보건 및 교육 지도,null,null
304055,디자인,null,null
304058,남아메리카 ,null,null
304113,전집 총서,null,null
304208,서예,null,null
304436,디자인,null,null
304621,한의학,null,null
304655,스페인어 및 포르투갈어,null,null
304656,포르투갈어,null,null
304657,포르투갈어,null,null
304696,전집 총서,null,null
304792,국제법,null,null
304880,시,null,null
305078,시,null,null
305084,자기,null,null
305264,null,null,null
305602,평생교육,null,null
306167,북아메리카,null,null
306276,스칸디나비아,null,null
306509,소설,null,null
306737,언어학,null,null
306756,기타 제법,null,null
306762,사회복지,null,null
306888,시,null,null
306914,강연집 수필집 연설문집,null,null
306917,민속학,null,null
306981,시,null,null
307031,심리학각론,null,null
307133,산수,null,null
307149,서예,null,null
307152,사회학 사회문제,null,null
307154,잡저,null,null
307178,산수,null,null
307444,산수,null,null
307574,관혼상제,null,null
307627,석조,null,null
308024,사회복지,null,null
308111,인도-유럽어족,null,null
308203,null,null,null
308217,공군,null,null
308327,주제별 서지 및 목록,null,null
308467,시,null,null
308514,관혼상제,null,null
309259,학회 단체 협회 기관 회의,null,null
309261,지방자치 및 지방행정,null,null
309555,남아메리카 ,null,null
309720,시,null,null
309751,중국문학,null,null
309970,디자인,null,null
310034,국가 및 정치 윤리,null,null
310226,nan,null,null
310332,윤리학 도덕철학,null,null
310382,사회복지,null,null
310988,세계사 세계문화사,null,null
311093,nan,null,null
312251,사회학 사회문제,null,null
312269,사전 사전[2],null,null
312275,nan,null,null
312350,nan,null,null
312375,시,null,null
312652,전집 총서,null,null
312668,콜롬비아,null,null
312722,시,null,null
312840,국제법,null,null
313001,국방 군사학,null,null
313014,귀납법,null,null
313020,산수,null,null
313023,콜롬비아,null,null
313095,시,null,null
313301,아프리카 제어,null,null
313399,null,null,null
313643,null,null,null
313854,시,null,null
314918,학교 및 대학 도서관,null,null
315188,시,null,null
315199,개인의 일반전집,null,null
316090,시,null,null
316393,null,null,null
316512,디자인,null,null
316523,시,null,null
316591,산수,null,null
316768,기술 철학 및 이론,null,null
316769,잡저,null,null
316777,세계사 세계문화사,null,null
316789,디자인,null,null
316801,서남아시아 제국 철학 사상,null,null
316884,디자인,null,null
317151,제조업,null,null
317247,서인도제도,null,null
317294,소설,null,null
317345,학회 단체 협회 기관 회의,null,null
317381,방언(사투리),null,null
317394,이상심리학,null,null
317753,nan,null,null
318744,동양철학 동양사상,null,null
318752,소설,null,null
318941,심리학각론,null,null
319077,북아메리카,null,null
319527,사회복지,null,null
320453,콜롬비아,null,null
320493,디자인,null,null
320558,사회학 사회문제,null,null
320607,사회복지,null,null
320608,사회복지,null,null
320627,아시아,null,null
320730,사전 사전[2],null,null
320788,제상,null,null
320802,국제법,null,null
320992,소설,null,null
321004,전집 총서,null,null
321022,nan,null,null
321045,한의학,null,null
321108,스칸디나비아,null,null
321580,디자인,null,null
321582,기술사,null,null
321583,콜롬비아,null,null
321604,중국어,null,null
321649,연속간행물,null,null
321665,콜롬비아,null,null
321678,인도 철학 사상,null,null
321679,시베리아,null,null
321700,null,null,null
321715,소설,null,null
321885,null,null,null
322165,심리학각론,null,null
322511,국방 군사학,null,null
322537,이상심리학,null,null
322543,nan,null,null
322608,논리학,null,null
322669,가정윤리,null,null
322672,null,null,null
322690,서양철학,null,null
322700,비교종교,null,null
322712,가정윤리,null,null
323113,언어사 및 언어정책 언어행정,null,null
323244,문학이론,null,null
323398,교육 정책 및 행정,null,null
324191,시,null,null
324672,디자인,null,null
324753,국가와 개인 및 집단,null,null
325030,null,null,null
325072,시,null,null
325093,사회학 사회문제,null,null
325129,북아메리카 인디언어,null,null
325269,개인의 일반전집,null,null
325400,경제학,null,null
325601,생활문제,null,null
325683,지식 및 학문 일반,null,null
325894,디자인,null,null
325907,사회복지,null,null
325951,공군,null,null
326058,전집 총서,null,null
326059,소설,null,null
326139,문헌정보학,null,null
326328,소설,null,null
326337,콜롬비아,null,null
326356,유럽,null,null
326560,시,null,null
326636,nan,null,null
326687,이탈리아어,null,null
326695,한자서체,null,null
326704,스페인어 및 포르투갈어,null,null
326943,null,null,null
327159,신문 저널리즘,null,null
327345,디자인,null,null
327385,null,null,null
327393,방언(사투리),null,null
327475,null,null,null
328082,기록관리학[1],null,null
328754,경제학,null,null
328763,null,null,null
328780,null,null,null
328841,학교 행정 및 경영 보건 및 교육 지도,null,null
328904,학회 단체 협회 기관 회의,null,null
329475,희곡,null,null
329772,콜롬비아,null,null
329865,디자인,null,null
329869,평생교육,null,null
329878,관혼상제,null,null
329885,문학사 평론,null,null
329889,시,null,null
330392,소설,null,null
330450,석조,null,null
330693,사진예술,null,null
330743,언어사 및 언어정책 언어행정,null,null
330745,언어학,null,null
330794,사전 사전[2],null,null
330995,전집 총서,null,null
330997,nan,null,null
331045,동양철학 동양사상,null,null
331140,아시아,null,null
331453,학교 및 대학 도서관,null,null
331484,교육 정책 및 행정,null,null
331610,아프리카,null,null
332257,자기,null,null
332276,동아프리카,null,null
332280,도자공예 유리공예,null,null
332289,국가 및 정치 윤리,null,null
332809,소설,null,null
332914,국제법,null,null
332970,북아메리카,null,null
333423,사전 사전[2],null,null
333519,프로그래밍 프로그램 데이터,null,null
333658,nan,null,null
333703,작문,null,null
333773,소설,null,null
333778,전집 총서,null,null
333816,null,null,null
333880,경제각론,null,null
334147,null,null,null
334165,경제학,null,null
334166,사회사상,null,null
334952,화학공학,null,null
335073,베네수엘라와 기아나 지역,null,null
335142,시,null,null
335148,디자인,null,null
335188,산수,null,null
335245,학회 단체 협회 기관 회의,null,null
335315,학회 단체 협회 기관 회의,null,null
335320,학회 단체 협회 기관 회의,null,null
335339,아프리카 제어,null,null
335430,nan,null,null
335611,문학이론,null,null
335709,목조,null,null
335808,제상,null,null
335825,북아메리카 인디언어,null,null
335841,금융,null,null
335859,여성문제,null,null
335897,한국어,null,null
335902,학습지도 교육방법,null,null
335952,소설,null,null
336116,시,null,null
336242,시,null,null
336354,nan,null,null
336389,nan,null,null
336539,행정법,null,null
336561,소설,null,null
336600,연속간행물,null,null
336601,nan,null,null
336604,유럽,null,null
336666,시,null,null
336679,연속간행물,null,null
336838,디자인,null,null
336865,사회복지,null,null
336897,디자인,null,null
336973,시,null,null
336987,소설,null,null
336988,소설,null,null
336993,문방구,null,null
337053,null,null,null
337074,심리학각론,null,null
337075,심리학각론,null,null
337119,음운 음성 문자,null,null
337126,시,null,null
337200,문학사 평론,null,null
337265,nan,null,null
337341,언어학,null,null
337355,인도-유럽어족,null,null
337389,경제학,null,null
337390,경제학,null,null
337391,경제학,null,null
337436,디자인,null,null
337794,콜롬비아,null,null
337967,기업경제,null,null
337972,음운 음성 문자,null,null
337974,프로그래밍 프로그램 데이터,null,null
337978,시,null,null
338288,시,null,null
338351,대수학,null,null
338485,디자인,null,null
338627,헌법,null,null
339171,역사,null,null
339194,사회사상,null,null
339505,사회학 사회문제,null,null
339756,스칸디나비아,null,null
339852,포르투갈어,null,null
339854,nan,null,null
339895,헌법,null,null
339959,시,null,null
340051,총서 전집 선집,null,null
340119,시,null,null
340490,정치학,null,null
340496,학회 단체 협회 기관 회의,null,null
340512,연속간행물,null,null
340739,지도법 연구법 및 교육 교육자료,null,null
340777,러시아와 동부유럽,null,null
340993,행정학,null,null
340998,디자인,null,null
341016,학회 단체 협회 기관 회의,null,null
341086,아시아,null,null
341752,언어사 및 언어정책 언어행정,null,null
341762,언어사 및 언어정책 언어행정,null,null
341774,연속간행물,null,null
341807,대수학,null,null
342002,nan,null,null
342763,시,null,null
342815,여성문제,null,null
342836,nan,null,null
342896,시,null,null
342899,오세아니아 양극지방,null,null
343453,시,null,null
343505,nan,null,null
343687,문학사 평론,null,null
343943,2인 이상의 일반전집 총서,null,null
344001,아시아,null,null
344527,nan,null,null
344953,중국 철학 사상,null,null
346003,라디오극(방송극) 및 음성(소리)매체 예술,null,null
346093,디자인,null,null
346188,서남아시아 제국 철학 사상,null,null
346217,시,null,null
346341,연속간행물,null,null
346495,nan,null,null
346894,사회복지,null,null
346991,오스트로네시아어족,null,null
347072,언어사 및 언어정책 언어행정,null,null
347104,사회 조직 및 제도,null,null
347295,사회복지,null,null
347544,세탁 염색 및 관련공업,null,null
347584,희곡,null,null
348841,소설,null,null
348846,철학,null,null
349214,사회학 사회문제,null,null
349522,null,null,null
349627,nan,null,null
349638,관혼상제,null,null
349649,사회과학,null,null
349672,전집 총서,null,null
349694,사회학,null,null
349711,사전,null,null
349740,소설,null,null
349741,시,null,null
349753,기독교,null,null
349828,디자인,null,null
349925,디자인,null,null
349945,null,null,null
349974,nan,null,null
349987,사회윤리,null,null
350023,서남아시아 제국 철학 사상,null,null
350127,동양철학 동양사상,null,null
350173,사회복지,null,null
350240,디자인,null,null
350373,nan,null,null
350492,디자인,null,null
350493,인디아와 남부아시아,null,null
350501,미사용 [6],null,null
350536,철학 및 이론,null,null
350693,귀납법,null,null
350716,기호 수리 논리학,null,null
350718,연역법,null,null
350731,경제학,null,null
350769,한의학,null,null
350851,서예,null,null
350882,null,null,null
350889,프로그래밍 프로그램 데이터,null,null
351042,세계사 세계문화사,null,null
351097,잡저,null,null
352168,사회학 사회문제,null,null
352185,아시아지리,null,null
352203,지식 및 학문 일반,null,null
352262,null,null,null
352674,nan,null,null
352787,아시아,null,null
352894,과테말라 벨리즈 엘살바도르,null,null
352899,사회학 사회문제,null,null
352915,학회 단체 협회 기관 회의,null,null
352948,null,null,null
352978,인도-유럽어족,null,null
352989,사회학 사회문제,null,null
352990,음운 음성 문자,null,null
353006,아시아,null,null
353020,중국문학,null,null
353284,베네수엘라와 기아나 지역,null,null
353427,베네수엘라와 기아나 지역,null,null
353613,콜롬비아,null,null
353625,경제학,null,null
353744,사회복지,null,null
354629,콜롬비아,null,null
354634,시,null,null
354636,사회학 사회문제,null,null
354824,루마니아어,null,null
354872,신문 저널리즘,null,null
354889,기타 제법,null,null
355137,시,null,null
355147,시,null,null
355278,nan,null,null
355409,일반윤리학 각론,null,null
355503,경영,null,null
355504,아프리카,null,null
355511,이탈리아어,null,null
355588,null,null,null
355685,디자인,null,null
355894,언어사 및 언어정책 언어행정,null,null
355914,시,null,null
356005,nan,null,null
356160,시,null,null
356240,nan,null,null
356287,소설,null,null
356311,시,null,null
356342,세계사 세계문화사,null,null
356385,사회사상,null,null
356386,인디아와 남부아시아,null,null
356457,북아메리카,null,null
356510,인디아와 남부아시아,null,null
356560,프로방스문학,null,null
356736,윤리학 도덕철학,null,null
356835,전집 총서,null,null
357376,박물관학,null,null
357532,수필,null,null
357548,개인의 일반전집,null,null
357721,소설,null,null
357919,콜롬비아,null,null
357988,사회복지,null,null
358106,null,null,null
358241,nan,null,null
358245,산수,null,null
358253,멕시코,null,null
358264,국제법,null,null
358281,남아메리카 ,null,null
358421,문학사 평론,null,null
358428,전집 총서,null,null
358431,인도-유럽어족,null,null
358444,군사 시설 및 장비,null,null
358506,디자인,null,null
358521,시,null,null
358522,금융,null,null
358592,사회복지,null,null
358595,사회복지,null,null
358683,조각 조형미술,null,null
358975,null,null,null
359126,디자인,null,null
359141,동양철학 동양사상,null,null
359163,교육학,null,null
359226,아프리카 ,null,null
359256,디자인,null,null
359652,사회 조직 및 제도,null,null
359698,학회 단체 협회 기관 회의,null,null
359899,전집 총서,null,null
359903,디자인,null,null
360263,소설,null,null
360320,시,null,null
360330,임상의학 일반,null,null
360387,시,null,null
360522,시,null,null
360560,null,null,null
360568,희곡,null,null
360792,강연집 수필집,null,null
